Version,Grade,Unit,Lesson,TG Page,Item,Depth of Knowledge (DOK),,,,
FLC,0,4,,486,3,2,,,,
FLC,0,4,,487,4,2,,,,
FLC,0,4,,487,5,3,,,,
FLC,0,4,,488,6,1,,,,
FLC,0,4,,488,7,2,,,,
FLC,0,4,,488a,8,2,,,,
FLC,0,4,,488a,9,2,,,,
FLC,0,4,,488a,10,2,,,,
FLC,0,4,,488a,11,2,,,,
FLC,0,4,,488b,12,2,,,,
FLC,0,4,,488b,13,2,,,,
FLC,0,4,,488b,14,2,,,,
FLC,0,4,,488b,15,3,,,,
FLC,0,5,25,506a,1,1,,,,
FLC,0,5,25,506a,2,1,,,,
FLC,0,5,25,506a,3,1,,,,
FLC,0,5,25,506b,4,2,,,,
FLC,0,5,25,506b,5,2,,,,
FLC,0,5,26,526a,1,1,,,,
FLC,0,5,26,526a,2,1,,,,
FLC,0,5,26,526a,3,1,,,,
FLC,0,5,26,526b,4,1,,,,
FLC,0,5,26,526b,5,1,,,,
FLC,0,5,27,546a,1,2,,,,
FLC,0,5,27,546a,2,2,,,,
FLC,0,5,27,546a,3,2,,,,
FLC,0,5,27,546b,4,2,,,,
FLC,0,5,27,546b,5,2,,,,
FLC,0,5,28,566a,1,1,,,,
FLC,0,5,28,566a,2,1,,,,
FLC,0,5,28,566b,3,1,,,,
FLC,0,5,28,566b,4,1,,,,
FLC,0,5,28,566b,5,1,,,,
FLC,0,5,29,586a,1,1,,,,
FLC,0,5,29,586a,2,1,,,,
FLC,0,5,29,586a,3,1,,,,
FLC,0,5,29,586b,4,1,,,,
FLC,0,5,29,586b,5,1,,,,
FLC,0,5,,588,1,2,,,,
FLC,0,5,,588,2,1,,,,
FLC,0,5,,589,3,2,,,,
FLC,0,5,,589,4,2,,,,
FLC,0,5,,590,5,1,,,,
FLC,0,5,,590a,6,2,,,,
FLC,0,5,,590a,7,1,,,,
FLC,0,5,,590a,8,2,,,,
FLC,0,5,,590a,9,2,,,,
FLC,0,5,,590b,10,1,,,,
FLC,0,5,,590b,11,3,,,,
FLC,0,6,30,612a,1,2,,,,
FLC,0,6,30,612a,2,2,,,,
FLC,0,6,30,612a,3,2,,,,
FLC,0,6,30,612b,4,2,,,,
FLC,0,6,30,612b,5,2,,,,
FLC,0,6,31,628a,1,2,,,,
FLC,0,6,31,628a,2,2,,,,
FLC,0,6,31,628a,3,2,,,,
FLC,0,6,31,628b,4,2,,,,
FLC,0,6,31,628b,5,2,,,,
FLC,0,6,32,648a,1,2,,,,
FLC,0,6,32,648a,2,2,,,,
FLC,0,6,32,648b,3,2,,,,
FLC,0,6,32,648b,4,2,,,,
FLC,0,6,,650,1,2,,,,
FLC,0,6,,650,2,2,,,,
FLC,0,6,,651,3,2,,,,
FLC,0,6,,651,4,2,,,,
FLC,0,6,,652,5,1,,,,
FLC,0,6,,652,6,2,,,,
FLC,0,6,,652a,7,2,,,,
FLC,0,6,,652a,8,2,,,,
FLC,0,6,,652a,9,2,,,,
FLC,0,6,,652a,10,2,,,,
FLC,0,6,,652b,11,2,,,,
FLC,0,6,,652b,12,2,,,,
FLC,0,6,,652b,13,2,,,,
FLC,0,6,,652b,14,3,,,,
FLC,1,1,1,21,1,1,,,,
FLC,1,1,1,21,2,1,,,,
FLC,1,1,1,22,3,1,,,,
FLC,1,1,1,22,4,1,,,,
FLC,1,1,1,22,5,1,,,,
FLC,1,1,1,25,1,1,,,,
FLC,1,1,1,25,2,1,,,,
FLC,1,1,1,25,3,1,,,,
FLC,1,1,1,25,4,1,,,,
FLC,1,1,1,25,5,1,,,,
FLC,1,1,1,25,6,1,,,,
FLC,1,1,1,26a,1,1,,,,
FLC,1,1,1,26a,2,1,,,,
FLC,1,1,1,26b,3,1,,,,
FLC,1,1,1,26b,4,1,,,,
FLC,1,1,1,26b,5,1,,,,
FLC,1,1,2,45,1,2,,,,
FLC,1,1,2,45,2,1,,,,
FLC,1,1,2,46,3,2,,,,
FLC,1,1,2,46,4,2,,,,
FLC,1,1,2,46,5,1,,,,
FLC,1,1,2,49,1,1,,,,
FLC,1,1,2,49,2,2,,,,
FLC,1,1,2,49,3,1,,,,
FLC,1,1,2,49,4,1,,,,
FLC,1,1,2,49,5,1,,,,
FLC,1,1,2,49,6,1,,,,
FLC,1,1,2,50a,1,1,,,,
FLC,1,1,2,50a,2,2,,,,
FLC,1,1,2,50b,3,1,,,,
FLC,1,1,2,50b,4,2,,,,
FLC,1,1,2,50b,5,2,,,,
FLC,1,1,3,69,1,2,,,,
FLC,1,1,3,69,2,2,,,,
FLC,1,1,3,70,3,2,,,,
